Year,SP500 Price,Dividend,EPS,CAPE
1925,12.46,0.6 ,1.25,11.15
1926,12.67 ,0.6075,1.24,11.34096619
1927,13.49 ,0.69,1.11,13.00905273
1928,17.46 ,0.77,1.38,18.64662402
1929,23.15 ,0.85,1.61,25.30159103
1930,21.4 ,0.97,0.97 ,22.00737318
1931,15.51 ,0.98,0.61 ,16.05500186
1932,8.44 ,0.82,0.41 ,9.306032868
1933,6.82 ,0.5,0.44 ,8.257073999
1934,9.97 ,0.44,0.49 ,12.28180162
1935,9.26 ,0.45,0.76 ,11.63933757
1936,13.04 ,0.47,1.02 ,16.15919271
1937,17.06 ,0.72,1.13 ,21.12566355
1938,11.02 ,0.8,0.64 ,13.00848303
1939,12.69 ,0.51,0.9 ,15.75648444
1940,12.37 ,0.62,1.05 ,16.2804129
1941,10.53 ,0.67,1.16 ,13.90842612
1942,8.76 ,0.71,1.03 ,10.08659331
1943,9.52 ,0.59,0.94 ,9.617514103
1944,11.48 ,0.61,0.93 ,10.73736032
1945,13.1 ,0.64,0.96 ,11.63868359
1946,17.33 ,0.66,1.06 ,15.02034747
1947,15.13 ,0.71,1.61 ,11.37277943
1948,15.03 ,0.84,2.29 ,10.68091253
1949,15.19 ,0.93,2.32 ,10.15965294
1950,16.54 ,1.14,2.84 ,10.5293309
1951,19.75 ,1.47,2.44 ,11.30666579
1952,23.41 ,1.41,2.4 ,12.14707257
1953,26.04 ,1.41,2.51 ,12.93396431
1954,24.83 ,1.45,2.77 ,11.75444918
1955,34.97 ,1.54,3.62 ,15.789062
1956,45.37 ,1.64,3.41 ,18.94236904
1957,46.44 ,1.74,3.37 ,17.19752273
1958,40.33 ,1.79,2.89 ,13.67324606
1959,53.49 ,1.75,3.39 ,17.35835737
1960,59.06 ,1.83,3.27 ,18.62472898
1961,56.8 ,1.95,3.19 ,17.56209083
1962,71.74 ,2.02,3.67 ,22.0414802
1963,62.64 ,2.13,4.02 ,18.58583612
1964,74.17 ,2.28,4.55 ,21.03859938
1965,83.96 ,2.5,5.19 ,22.75298477
1966,91.73 ,2.72,5.55 ,23.69411155
1967,81.33 ,2.87,5.33 ,19.73647375
1968,95.3 ,2.92,5.76 ,21.75159781
1969,106.5 ,3.07,5.78 ,22.277873
1970,91.11 ,3.16,5.13 ,17.32692991
1971,90.05 ,3.14,5.7 ,15.87384069
1972,99.17 ,3.07,6.42 ,16.60355721
1973,117.5 ,3.15,8.16 ,18.64571944
1974,94.78 ,3.38,8.89 ,13.49332969
1975,67.07 ,3.6,7.96 ,8.289060056
1976,88.7 ,3.68,9.91 ,10.25036842
1977,104.7 ,4.05,10.89 ,11.59758973
1978,93.82 ,4.67,12.33 ,9.678266583
1979,96.11 ,5.07,14.86 ,9.011941819
1980,107.8 ,5.65,14.82 ,8.745204405
1981,133.5 ,6.16,15.36 ,9.389902085
1982,123.8 ,6.63,12.64 ,7.832562137
1983,139.4 ,6.87,14.03 ,8.467738401
1984,164.4 ,7.09,16.64 ,9.815010904
1985,164.5 ,7.53,14.61 ,9.595054801
1986,207.3 ,7.9,14.48 ,11.69052147
1987,248.6 ,8.28,17.5 ,14.08513981
1988,241 ,8.81,23.75 ,13.38902851
1989,276.5 ,9.75,22.87 ,14.70208675
1990,348.6 ,11.06,21.34 ,17.6502129
1991,328.75 ,12.09,15.97 ,15.84631497
1992,388.51 ,12.2,19.09 ,18.44165231
1993,435.64 ,12.39,21.89 ,20.44860672
1994,465.95 ,12.58,30.6 ,21.16473208
1995,455.19 ,13.17,33.96 ,19.91148411
1996,614.57 ,13.79,38.73 ,25.02738066
1997,743.25 ,14.9,39.72 ,27.72394616
1998,962.37 ,15.5,37.71 ,33.03078904
1999,1190.05 ,16.2,48.17 ,38.82027478
2000,1428.68 ,16.69,50 ,44.19793976
2001,1330.93 ,16.27,24.69 ,37.274238
2002,1144.93 ,15.74,27.59 ,30.49995326
2003,899.18 ,16.07,48.74 ,23.10144254
2004,1080.64 ,17.39,58.55 ,26.63517051
2005,1199.21 ,19.44,69.83 ,27.14480869
2006,1262.07 ,22.22,81.51 ,26.44380311
2007,1416.42 ,24.88,66.18 ,27.28268979
2008,1479.22 ,27.73,14.88 ,25.95551011
2009,877.56 ,28.39,50.97 ,15.37608075
2010,1110.38 ,22.41,77.35 ,20.3223765
2011,1241.53 ,22.73,86.95 ,22.39637977
2012,1243.32 ,26.43,86.51 ,20.5235755
2013,1422.29 ,31.25,100.2 ,21.23826114
2014,1807.78 ,34.99,102.31 ,24.8618693
2015,2054.27 ,39.44,86.53 ,26.79408548
2016,2246.63 ,45.7,94.55 ,27.87
2017,2664.34 ,48.93,109.88 ,32.09
2018,2567.31 ,53.75,132.39 ,28.29
2019,3176.75 ,58.24,140.42 ,30.33
2020,3695.31 ,58.28,94.13 ,33.7
2021,4674.77 ,60.4,197.87 ,38.3
2022,3912.38 ,66.92,172.75 ,28.32
2023,4685.05 ,70.3,192.43 ,31.45
2024,6010.91,74.83,,37.92
